,Validation_Accuracy,Test_Accuracy,Accuracy_Difference,Validation_AUC,Test_AUC,AUC_Difference,Validation_F1,Test_F1,F1_Difference,Validation_Precision,Test_Precision,Precision_Difference,Validation_Recall,Test_Recall,Recall_Difference
LogisticRegression,0.7593333333333333,0.742,0.01733333333333331,0.8504347863035409,0.8381289301486543,0.012305856154886552,0.6591123701605288,0.64,0.019112370160528802,0.5702614379084967,0.5468998410174881,0.023361596891008585,0.7807606263982103,0.7713004484304933,0.009460177967717032
LogisticRegression_L1,0.758,0.7393333333333333,0.01866666666666672,0.8513398386627321,0.8381055300754758,0.013234308587256272,0.6578699340245052,0.6362790697674419,0.021590864257063358,0.5684039087947883,0.5437201907790143,0.02468371801577396,0.7807606263982103,0.7668161434977578,0.01394448290045247
LogisticRegression_L2,0.7593333333333333,0.742,0.01733333333333331,0.8504347863035409,0.8381289301486543,0.012305856154886552,0.6591123701605288,0.64,0.019112370160528802,0.5702614379084967,0.5468998410174881,0.023361596891008585,0.7807606263982103,0.7713004484304933,0.009460177967717032
RandomForest,0.746,0.7193333333333334,0.026666666666666616,0.8429011814545,0.8312450540754418,0.01165612737905819,0.650137741046832,0.6264418811002662,0.023695859946565756,0.5514018691588785,0.5183553597650514,0.03304650939382703,0.7919463087248322,0.7914798206278026,0.0004664880970295382
RandomForest_Regularized,0.7533333333333333,0.7353333333333333,0.018000000000000016,0.8443713604041717,0.8320938385480042,0.012277521856167484,0.6496212121212122,0.6293183940242764,0.020302818096935793,0.5632183908045977,0.5392,0.024018390804597667,0.767337807606264,0.7556053811659192,0.011732426440344779
GradientBoosting,0.7733333333333333,0.742,0.031333333333333324,0.8446358651429493,0.8319247198373056,0.012711145305643656,0.6646942800788954,0.6231742940603701,0.04151998601852536,0.5943562610229277,0.5507745266781411,0.04358173434478663,0.7539149888143176,0.7174887892376681,0.0364261995766495
XGBoost,0.6833333333333333,0.6706666666666666,0.012666666666666715,0.8407554000395164,0.8294730303520221,0.011282369687494298,0.6190858059342422,0.6134585289514867,0.005627276982755558,0.4825,0.47115384615384615,0.01134615384615384,0.8635346756152126,0.8789237668161435,0.015389091200930904
LightGBM,0.674,0.6633333333333333,0.010666666666666713,0.8455016135851334,0.8314077909480008,0.014093822637132658,0.6158680282796544,0.6094354215003867,0.006432606779267713,0.4745762711864407,0.4651711924439197,0.009405078742521,0.8769574944071589,0.8834080717488789,0.006450577341720054
SVM,0.754,0.7413333333333333,0.012666666666666715,0.8496359607470719,0.8389564418274181,0.010679518919653797,0.6541705716963448,0.6394052044609665,0.014765367235378357,0.5629032258064516,0.546031746031746,0.0168714797747056,0.7807606263982103,0.7713004484304933,0.009460177967717032
KNN,0.7233333333333334,0.7073333333333334,0.016000000000000014,0.7960785313507163,0.7792139277235558,0.016864603627160468,0.6073793755912961,0.5854579792256847,0.021921396365611412,0.5262295081967213,0.5057096247960848,0.020519883400636485,0.7181208053691275,0.695067264573991,0.02305354079513644
MLP,0.75,0.7353333333333333,0.014666666666666717,0.8501862155851716,0.8358633776091082,0.014322837976063374,0.6518105849582173,0.6313834726090993,0.020427112349117982,0.5571428571428572,0.5388272583201268,0.018315598822730372,0.785234899328859,0.7623318385650224,0.022903060763836636
MLP_Regularized,0.7686666666666667,0.75,0.01866666666666672,0.8471417554191605,0.83377438925809,0.013367366161070482,0.6594700686947988,0.6369796708615683,0.02249039783323059,0.5874125874125874,0.5604770017035775,0.02693558570900989,0.7516778523489933,0.7376681614349776,0.014009690914015716
CatBoost,0.7626666666666667,0.7506666666666667,0.01200000000000001,0.8482422650953598,0.8348103743160796,0.013431890779280198,0.654368932038835,0.638996138996139,0.015372793042695898,0.5780445969125214,0.5610169491525424,0.017027647759979003,0.7539149888143176,0.742152466367713,0.011762522446604584
DecisionTree,0.7333333333333333,0.7066666666666667,0.026666666666666616,0.8387466512000441,0.8154255409671464,0.023321110232897735,0.6422182468694096,0.621342512908778,0.020875733960631693,0.5350223546944859,0.5041899441340782,0.03083241056040764,0.8031319910514542,0.8094170403587444,0.006285049307290236
