,Accuracy,AUC,F1,Precision,Recall,Best_Params,Train_Time_s
LogisticRegression,0.7593333333333333,0.8504347863035409,0.6591123701605288,0.5702614379084967,0.7807606263982103,{'model__C': 0.1},8.148360013961792
LogisticRegression_L1,0.758,0.8513398386627321,0.6578699340245052,0.5684039087947883,0.7807606263982103,{'model__C': 0.1},7.567659854888916
LogisticRegression_L2,0.7593333333333333,0.8504347863035409,0.6591123701605288,0.5702614379084967,0.7807606263982103,{'model__C': 0.1},8.826461553573608
RandomForest,0.746,0.8429011814545,0.650137741046832,0.5514018691588785,0.7919463087248322,"{'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 300}",400.6275095939636
RandomForest_Regularized,0.7533333333333333,0.8443713604041717,0.6496212121212122,0.5632183908045977,0.767337807606264,"{'model__max_depth': 7, 'model__min_samples_split': 30, 'model__n_estimators': 200}",111.45856285095215
GradientBoosting,0.7733333333333333,0.8446358651429493,0.6646942800788954,0.5943562610229277,0.7539149888143176,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",361.15168261528015
XGBoost,0.6833333333333333,0.8407554000395164,0.6190858059342422,0.4825,0.8635346756152126,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",63.32628059387207
LightGBM,0.674,0.8455016135851334,0.6158680282796544,0.4745762711864407,0.8769574944071589,"{'model__learning_rate': 0.01, 'model__n_estimators': 200, 'model__num_leaves': 31}",65.55003547668457
SVM,0.754,0.8496359607470719,0.6541705716963448,0.5629032258064516,0.7807606263982103,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",795.8903684616089
KNN,0.7233333333333334,0.7960785313507163,0.6073793755912961,0.5262295081967213,0.7181208053691275,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform'}",28.461933851242065
MLP,0.75,0.8501862155851716,0.6518105849582173,0.5571428571428572,0.785234899328859,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (100,)}",177.38603901863098
MLP_Regularized,0.7686666666666667,0.8471417554191605,0.6594700686947988,0.5874125874125874,0.7516778523489933,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (100,)}",29.22434663772583
CatBoost,0.7626666666666667,0.8482422650953598,0.654368932038835,0.5780445969125214,0.7539149888143176,"{'model__depth': 4, 'model__iterations': 500, 'model__learning_rate': 0.01}",342.55342960357666
DecisionTree,0.7333333333333333,0.8387466512000441,0.6422182468694096,0.5350223546944859,0.8031319910514542,"{'model__max_depth': 5, 'model__min_samples_split': 2}",30.96491050720215
